Source,Target,Weight,Other source,Other target,Other weight,Another source,Another target,Another weight
Robb,Balon,6,,,,,,
Robb,Bran,23,,,,,,
Robb,Brienne,6,,,,,,
Robb,Brynden,17,,,,,,
Robb,Edmure,32,,,,,,
Robb,Hodor,5,,,,,,
Robb,Jaime,15,,,,,,
Robb,Jeyne,18,,,,,,
Robb,Joffrey,10,,,,,,
Robb,Jon,14,,,,,,
Robb,Lothar,10,,,,,,
Robb,Petyr,5,,,,,,
Robb,Ramsay,4,,,,,,
Robb,Rickard,7,,,,,,
Robb,Rickon,15,,,,,,
Robb,Roose,4,,,,,,
Robb,Sansa,15,,,,,,
Robb,Stannis,4,,,,,,
Robb,Theon,11,,,,,,
Robb,Tyrion,12,,,,,,
Robb,Tywin,12,,,,,,
Robb,Walder,26,,,,,,
Robert,Aemon,4,,,,,,
Robert,Barristan,5,,,,,,
Robert,Renly,4,,,,,,
Robert,Stannis,5,,,,,,
Robert,Thoros,4,,,,,,
Robert Arryn,Marillion,4,,,,,,
Roose,Brienne,4,,,,,,
Samwell,Bowen,6,,,,,,
Samwell,Craster,34,,,,,,
Samwell,Eddison,12,,,,,,
Samwell,Gilly,36,,,,,,
Samwell,Grenn,43,,,,,,
Samwell,Janos,6,,,,,,
Samwell,Mance,10,,,,,,
Samwell,Qhorin,5,,,,,,
Sandor,Beric,15,,,,,,
Sandor,Gendry,5,,,,,,
Sandor,Ilyn,4,,,,,,
Sandor,Meryn,4,,,,,,
Sandor,Robert,6,,,,,,
Sandor,Thoros,10,,,,,,
Sansa,Arya,22,,,,,,
Sansa,Bran,10,,,,,,
Sansa,Brienne,5,,,,,,
Sansa,Cersei,16,,,,,,
Sansa,Jaime,10,,,,,,
Sansa,Joffrey,35,,,,,,
Sansa,Jon,4,,,,,,
Sansa,Kevan,5,,,,,,
Sansa,Loras,14,,,,,,
Sansa,Lysa,28,,,,,,
Sansa,Margaery,36,,,,,,
Sansa,Marillion,9,,,,,,
Sansa,Myrcella,4,,,,,,
Sansa,Olenna,7,,,,,,
Sansa,Petyr,28,,,,,,
Sansa,Podrick,8,,,,,,
Sansa,Renly,4,,,,,,
Sansa,Rickon,7,,,,,,
Sansa,Robert,5,,,,,,
Sansa,Robert Arryn,6,,,,,,
Sansa,Sandor,6,,,,,,
Sansa,Shae,8,,,,,,
Sansa,Tyrion,77,,,,,,
Shae,Chataya,4,,,,,,
Shae,Varys,8,,,,,,
Shireen,Davos,5,,,,,,
Stannis,Aemon,4,,,,,,
Stannis,Balon,4,,,,,,
Stannis,Davos,32,,,,,,
Stannis,Melisandre,20,,,,,,
Stannis,Renly,15,,,,,,
Stannis,Samwell,13,,,,,,
Tommen,Margaery,5,,,,,,
Tyrion,Balon,4,,,,,,
Tyrion,Bronn,31,,,,,,
Tyrion,Chataya,5,,,,,,
Tyrion,Doran,5,,,,,,
Tyrion,Elia,5,,,,,,
Tyrion,Ellaria,4,,,,,,
